,Old Value,New Value [If -BLANK- then not used],New Value [If -BLANK- then NA]
1,lei,LEI,LEI
2,entity_legal_name,LegalName,LegalName
3,entity_address1_a,Location1,Location1
4,entity_address1_b,,NA
5,entity_address1_c,,NA
6,entity_address1_d,,NA
7,entity_address1_e,Location2,Location2
8,entity_address1_f,,NA
9,entity_address1_g,,NA
10,entity_city1,City1,City1
11,entity_region1,Location3,Location3
12,entity_country1,Country1,Country1
13,entity_postal1,Postal1,Postal1
14,entity_hq_address_a,HQ1,HQ1
15,entity_hq_address_b,,NA
16,entity_hq_address_c,,NA
17,entity_hq_address_d,,NA
18,entity_hq_address_e,,NA
19,entity_hq_address_f,,NA
20,entity_hq_address_g,,NA
21,entity_hq_city,HQ2,HQ2
22,entity_hq_region,HQ3,HQ3
23,entity_hq_country,HQ4,HQ4
24,entity_hq_postal,HQ5,HQ5
25,entity_address2_type,,NA
26,entity_address2_a,,NA
27,entity_address2_b,,NA
28,entity_address2_c,,NA
29,entity_address2_d,,NA
30,entity_address2_e,,NA
31,entity_address2_f,,NA
32,entity_address2_g,,NA
33,entity_city2,,NA
34,entity_region2,,NA
35,entity_country2,,NA
36,entity_postal2,,NA
37,entity_registration_authority_id,RA,RA
38,entity_legal_jurisdiction,LegalJur,LegalJur
39,entity_category,,NA
40,entity_legal_form,LegalForm,LegalForm
41,Entity.LegalForm.OtherLegalForm,Type1,Type1
42,entity_status,Status,Status
43,initial_registration_date,,NA
44,last_updated_date,,NA
45,registration_status,,NA
46,validation_authority_sources,ValidStatus,ValidStatus
47,validation_authority_id,ValidAuth,ValidAuth
